Object ID *,County GNIS Code,Geographic Identifier - FIPS Code *,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,Total housing units,Vacant housing units,Vacant housing units for rent,"Vacant housing units rented, not occupied",Vacant housing units for sale only,"Vacant housing units sold, not occupied","Vacant housing units for seasonal, recreational, or occasional use",Vacant housing units for migrant workers,"Vacant housing units, other vacant",Percent of housing units that are vacant *,Total Occupied Housing Units,Owner Occupied Housing Units,Renter Occupied Housing Units,Year-round owner housing inventory,Homeowner vacancy rate,Year-round rental housing inventory,Rental vacancy rate,Year-round total housing inventory,Available vacant housing,Available housing vacancy rate *,Shape Area *,Shape Length *,Shape *
1,161526,1001,1539634184,25674812,Autauga County,Alabama,23697,2138,162,90,140,193,178,25,1350,9,21559,16088,5471,16421,0.9,5723,2.8,22144,302,1.4,2208587757,249970.1918,Polygon
2,161527,1003,4117656199,1132956041,Baldwin County,Alabama,116747,32700,16436,256,1866,974,9031,0,4137,28,84047,64716,19331,67556,2.8,36023,45.6,103579,18302,17.7,5911174508,537587.2607,Polygon
3,161528,1005,2292160149,50523213,Barbour County,Alabama,12057,2735,221,18,237,71,946,0,1242,22.7,9322,5775,3547,6083,3.9,3786,5.8,9869,458,4.6,3257906793,320882.8479,Polygon
4,161529,1007,1612188717,9572303,Bibb County,Alabama,9237,1978,49,0,72,13,154,0,1690,21.4,7259,5428,1831,5513,1.3,1880,2.6,7393,121,1.6,2311977955,227920.061,Polygon
5,161530,1009,1670259090,14860281,Blount County,Alabama,24404,3199,393,17,88,127,235,0,2339,13.1,21205,16132,5073,16347,0.5,5483,7.2,21830,481,2.2,2456904202,292630.2869,Polygon
6,161531,1011,1613083467,6030667,Bullock County,Alabama,4591,1162,70,34,3,0,336,0,719,25.3,3429,2531,898,2534,0.1,1002,7,3536,73,2.1,2262904520,249092.797,Polygon
7,161532,1013,2012002546,2701199,Butler County,Alabama,10119,3470,621,106,184,1451,187,0,921,34.3,6649,4872,1777,6507,2.8,2504,24.8,9011,805,8.9,2794760979,221283.3572,Polygon
8,161533,1015,1569246127,16536293,Calhoun County,Alabama,53722,9150,897,490,519,307,768,51,6118,17,44572,31370,13202,32196,1.6,14589,6.1,46785,1416,3,2300852367,263781.3082,Polygon
9,161534,1017,1545085601,16971700,Chambers County,Alabama,16985,3403,395,129,203,173,1093,13,1397,20,13582,9133,4449,9509,2.1,4973,7.9,14482,598,4.1,2222662396,208606.0414,Polygon
10,161535,1019,1433620850,120310807,Cherokee County,Alabama,16631,5795,302,0,203,118,3193,0,1979,34.8,10836,8477,2359,8798,2.3,2661,11.3,11459,505,4.4,2276002216,237079.5935,Polygon
11,161536,1021,1794438835,20592116,Chilton County,Alabama,19897,2757,272,56,388,730,708,0,603,13.9,17140,12878,4262,13996,2.8,4590,5.9,18586,660,3.6,2578783801,248625.3232,Polygon
12,161537,1023,2365900081,19114321,Choctaw County,Alabama,7410,2080,14,0,21,0,466,0,1579,28.1,5330,4350,980,4371,0.5,994,1.4,5365,35,0.7,3327536544,324953.7811,Polygon
13,161538,1025,3207494086,36657889,Clarke County,Alabama,12813,3490,124,146,144,53,1195,0,1828,27.2,9323,6761,2562,6958,2.1,2832,4.4,9790,268,2.7,4492990575,455174.0147,Polygon
14,161539,1027,1564255426,5281616,Clay County,Alabama,6832,1679,134,85,45,56,201,0,1158,24.6,5153,3947,1206,4048,1.1,1425,9.4,5473,179,3.3,2251227965,244308.3191,Polygon
15,161540,1029,1450666453,2352217,Cleburne County,Alabama,6859,1024,82,54,34,36,145,0,673,14.9,5835,4515,1320,4585,0.7,1456,5.6,6041,116,1.9,2103518737,264790.9459,Polygon
16,161541,1031,1758565928,3907189,Coffee County,Alabama,23313,3362,629,226,200,99,435,0,1773,14.4,19951,13527,6424,13826,1.4,7279,8.6,21105,829,3.9,2426766485,203468.7144,Polygon
17,161542,1033,1535742270,79160396,Colbert County,Alabama,26727,4930,694,135,150,188,721,41,3001,18.4,21797,15609,6188,15947,0.9,7017,9.9,22964,844,3.7,2394899037,262716.073,Polygon
18,161543,1035,2202213384,6426488,Conecuh County,Alabama,7203,2618,276,95,73,238,377,0,1559,36.3,4585,3426,1159,3737,2,1530,18,5267,349,6.6,3042810006,309795.3243,Polygon
19,161544,1037,1685846963,39991153,Coosa County,Alabama,6615,2599,29,34,102,205,828,0,1401,39.3,4016,3256,760,3563,2.9,823,3.5,4386,131,3,2456907532,209661.8484,Polygon
20,161545,1039,2669165738,34194671,Covington County,Alabama,19073,4078,173,83,267,211,669,0,2675,21.4,14995,11137,3858,11615,2.3,4114,4.2,15729,440,2.8,3710244591,288483.9935,Polygon
21,161546,1041,1576952763,5388562,Crenshaw County,Alabama,6834,1823,149,58,66,582,229,0,739,26.7,5011,3842,1169,4490,1.5,1376,10.8,5866,215,3.7,2194020410,286131.193,Polygon
