Object ID *,State GNIS Code,Geographic Identifier - FIPS Code *,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total housing units,Vacant housing units,Vacant housing units for rent,"Vacant housing units rented, not occupied",Vacant housing units for sale only,"Vacant housing units sold, not occupied","Vacant housing units for seasonal, recreational, or occasional use",Vacant housing units for migrant workers,"Vacant housing units, other vacant",Percent of housing units that are vacant *,Total Occupied Housing Units,Owner Occupied Housing Units,Renter Occupied Housing Units,Year-round owner housing inventory,Homeowner vacancy rate,Year-round rental housing inventory,Rental vacancy rate,Year-round total housing inventory,Available vacant housing,Available housing vacancy rate *,Shape Area *,Shape Length *,Shape *
1,1779775,1,AL,Alabama,1.31175E+11,4591915034,2270398,381894,63532,13532,21865,15623,74821,551,191970,16.8,1888504,1306505,581999,1343993,1.6,659063,9.6,2003056,85397,4.3,1.90114E+11,2354852.67,Polygon
2,1785533,2,AK,Alaska,1.47894E+12,2.4538E+11,318370,63197,7555,1628,2902,1192,30834,468,18618,19.9,255173,165376,89797,169470,1.7,98980,7.6,268450,10457,3.9,8.20849E+12,82199145.89,Polygon
3,1779777,4,AZ,Arizona,2.94361E+11,858853288,3040595,397165,53207,13186,28681,16380,198985,961,85765,13.1,2643430,1727176,916254,1772237,1.6,982647,5.4,2754884,81888,3,4.34051E+11,2907135.646,Polygon
4,68085,5,AR,Arkansas,1.34661E+11,3121867339,1379778,209234,32241,4986,13738,6452,54148,658,97011,15.2,1170544,770477,400067,790667,1.7,437294,7.4,1227961,45979,3.7,2.05403E+11,2683803.15,Polygon
5,1779778,6,CA,California,4.03671E+11,20294133830,14210945,1107831,227993,54898,77702,53437,378023,3326,312452,7.8,13103114,7241318,5861796,7372457,1.1,6144687,3.7,13517144,305695,2.3,6.50014E+11,5467289.403,Polygon
6,1779779,8,CO,Colorado,2.68419E+11,1185766400,2361372,223970,37263,8746,13905,6635,111290,616,45515,9.5,2137402,1415324,722078,1435864,1,768087,4.9,2203951,51168,2.3,4.47311E+11,2708265.228,Polygon
7,1779780,9,CT,Connecticut,12541688516,1816426151,1521199,135762,27938,5312,14409,6236,29669,161,52037,8.9,1385437,915408,470029,936053,1.5,503279,5.6,1439332,42347,2.9,23148041024,862524.9528,Polygon
8,1779781,10,DE,Delaware,5046731558,1399179670,438438,67485,7105,956,4367,1692,40500,10,12855,15.4,370953,264915,106038,270974,1.6,114099,6.2,385073,11472,3,8634900080,635532.6637,Polygon
9,1702382,11,DC,District of Columbia,158316124,18709762,319192,30885,12052,1846,1804,1127,3096,42,10918,9.7,288307,122648,165659,125579,1.4,179557,6.7,305136,13856,4.5,292742574.5,86300.92318,Polygon
10,294478,12,FL,Florida,1.38958E+11,45975808217,9562324,1631011,242453,41152,112114,54976,867971,3766,308579,17.1,7931313,5250878,2680435,5417968,2.1,2964040,8.2,8382008,354567,4.2,1.96829E+11,5247871.665,Polygon
11,1705317,13,GA,Georgia,1.49486E+11,4418749570,4329675,499411,96603,18961,42058,15928,93609,857,231395,11.5,3830264,2453159,1377105,2511145,1.7,1492669,6.5,4003814,138661,3.5,2.15947E+11,2613078.048,Polygon
12,1779782,15,HI,Hawaii,16634147166,11777652106,546571,78639,17814,1873,3387,1441,32027,348,21749,14.4,467932,282037,185895,286865,1.2,205582,8.7,492447,21201,4.3,19127297501,1683310.165,Polygon
13,1779783,16,ID,Idaho,2.1405E+11,2391577745,737411,88112,8751,2197,5463,2742,48847,874,19238,11.9,649299,459428,189871,467633,1.2,200819,4.4,668452,14214,2.1,4.24675E+11,4197451.351,Polygon
14,1779784,17,IL,Illinois,1.43778E+11,6216594318,5373385,489324,105072,17463,54230,25331,48264,517,238447,9.1,4884061,3237778,1646283,3317339,1.6,1768818,5.9,5086157,159302,3.1,2.49657E+11,2753800.709,Polygon
15,448508,18,IN,Indiana,92788998225,1541613641,2903720,300950,56651,14890,24425,18632,45697,455,140200,10.4,2602770,1808293,794477,1851350,1.3,866018,6.5,2717368,81076,3,1.59575E+11,2237151.525,Polygon
