Object ID *,State GNIS Code,FIPS,Name,Total housing units,Vacant housing units,Vacant housing units for rent,Vacant housing units for sale only,"Vacant housing units for seasonal, recreational, or occasional use",Vacant housing units for migrant workers,Percent of housing units that are vacant *,Total Occupied Housing Units,Owner Occupied Housing Units,Renter Occupied Housing Units,Shape Area *,Shape Length *,Shape *
1,1779775,AL,Alabama,2270398,381894,63532,21865,74821,551,16.8,1888504,1306505,581999,1.90E+11,2354852.67,Polygon
2,1785533,AK,Alaska,318370,63197,7555,2902,30834,468,19.9,255173,165376,89797,8.21E+12,82199145.89,Polygon
3,1779777,AZ,Arizona,3040595,397165,53207,28681,198985,961,13.1,2643430,1727176,916254,4.34E+11,2907135.646,Polygon
4,68085,AR,Arkansas,1379778,209234,32241,13738,54148,658,15.2,1170544,770477,400067,2.05E+11,2683803.15,Polygon
5,1779778,CA,California,14210945,1107831,227993,77702,378023,3326,7.8,13103114,7241318,5861796,6.50E+11,5467289.403,Polygon
6,1779779,CO,Colorado,2361372,223970,37263,13905,111290,616,9.5,2137402,1415324,722078,4.47E+11,2708265.228,Polygon
7,1779780,CT,Connecticut,1521199,135762,27938,14409,29669,161,8.9,1385437,915408,470029,23148041024,862524.9528,Polygon
8,1779781,DE,Delaware,438438,67485,7105,4367,40500,10,15.4,370953,264915,106038,8634900080,635532.6637,Polygon
9,1702382,DC,District of Columbia,319192,30885,12052,1804,3096,42,9.7,288307,122648,165659,292742574.5,86300.92318,Polygon
10,294478,FL,Florida,9562324,1631011,242453,112114,867971,3766,17.1,7931313,5250878,2680435,1.97E+11,5247871.665,Polygon
11,1705317,GA,Georgia,4329675,499411,96603,42058,93609,857,11.5,3830264,2453159,1377105,2.16E+11,2613078.048,Polygon
12,1779782,HI,Hawaii,546571,78639,17814,3387,32027,348,14.4,467932,282037,185895,19127297501,1683310.165,Polygon
13,1779783,ID,Idaho,737411,88112,8751,5463,48847,874,11.9,649299,459428,189871,4.25E+11,4197451.351,Polygon
14,1779784,IL,Illinois,5373385,489324,105072,54230,48264,517,9.1,4884061,3237778,1646283,2.50E+11,2753800.709,Polygon
15,448508,IN,Indiana,2903720,300950,56651,24425,45697,455,10.4,2602770,1808293,794477,1.60E+11,2237151.525,Polygon
16,1779785,IA,Iowa,1407819,133878,26072,12256,24322,324,9.5,1273941,906967,366974,2.65E+11,2526450.481,Polygon
17,481813,KS,Kansas,1280376,138391,32049,12689,14993,188,10.8,1141985,756309,385676,3.48E+11,2570737.659,Polygon
18,1779786,KY,Kentucky,1994554,246501,34234,16906,39937,381,12.4,1748053,1181021,567032,1.67E+11,2749111.219,Polygon
19,1629543,LA,Louisiana,2074664,322708,55568,20276,59239,1376,15.6,1751956,1167628,584328,1.67E+11,4686754.517,Polygon
20,1779787,ME,Maine,746793,177242,9848,6249,127565,209,23.7,569551,414939,154612,1.72E+11,5114707.648,Polygon
21,1714934,MD,Maryland,2459650,229123,44432,22023,57745,171,9.3,2230527,1495828,734699,44232676511,3720640.104,Polygon
22,606926,MA,Massachusetts,2913009,266029,34129,15156,123556,57,9.1,2646980,1654892,992088,38763548995,2249853.947,Polygon
23,1779789,MI,Michigan,4611913,631505,59582,37181,288395,1994,13.7,3980408,2855485,1124923,2.96E+11,7554122.961,Polygon
24,662849,MN,Minnesota,2458030,250042,27736,12744,138793,400,10.2,2207988,1588611,619377,4.59E+11,4556808.431,Polygon
25,1779790,MS,Mississippi,1330867,214218,37160,14110,38016,782,16.1,1116649,767972,348677,1.75E+11,3043117.552,Polygon
26,1779791,MO,Missouri,2804664,364452,51276,24246,92141,432,13,2440212,1637374,802838,2.94E+11,3049353.552,Polygon
27,767982,MT,Montana,514956,78908,9126,4018,41792,227,15.3,436048,298728,137320,8.20E+11,4615631.94,Polygon
28,1779792,NE,Nebraska,844248,77585,14943,4842,16781,180,9.2,766663,507291,259372,3.58E+11,2922193.565,Polygon
29,1779793,NV,Nevada,1268533,138522,38317,11287,42350,185,10.9,1130011,644864,485147,4.80E+11,3054888.427,Polygon
30,1779794,NH,New Hampshire,638611,99495,6629,3481,70149,128,15.6,539116,383839,155277,45992927408,1326311.33,Polygon
31,1779795,NJ,New Jersey,3628732,356678,54735,30960,134412,196,9.8,3272054,2094427,1177627,34541079197,1127260.145,Polygon
32,897535,NM,New Mexico,943568,150813,23236,10155,48224,608,16,792755,539082,253673,4.64E+11,2899904.952,Polygon
33,1779796,NY,New York,8362971,945747,143648,60964,344593,1876,11.3,7417224,4014516,3402708,2.37E+11,3863561.361,Polygon
34,1027616,NC,North Carolina,4687122,655530,102026,41952,208292,1398,14,4031592,2649849,1381743,1.95E+11,4987549.915,Polygon
35,1779797,ND,North Dakota,376597,55724,13341,3677,15104,848,14.8,320873,200671,120202,4.00E+11,3125333.997,Polygon
36,1085497,OH,Ohio,5217090,499864,85978,40234,59067,617,9.6,4717226,3128172,1589054,1.84E+11,2333282.933,Polygon
37,1102857,OK,Oklahoma,1740972,247403,45179,18068,37881,473,14.2,1493569,986555,507014,2.74E+11,3307542.386,Polygon
38,1155107,OR,Oregon,1788855,146276,22913,11915,59709,498,8.2,1642579,1031006,611573,4.85E+11,3298513.582,Polygon
39,1779798,PA,Pennsylvania,5713345,606744,86625,48852,169072,535,10.6,5106601,3522269,1584332,2.05E+11,2103733.427,Polygon
40,1219835,RI,Rhode Island,469289,54559,8747,3691,17599,0,11.6,414730,255450,159280,5104944078,773602.5749,Polygon
41,1779799,SC,South Carolina,2319112,357631,57592,20914,125647,350,15.4,1961481,1375391,586090,1.17E+11,1957829.69,Polygon
42,1785534,SD,South Dakota,396817,48939,8307,2784,15144,91,12.3,347878,236495,111383,3.92E+11,2963050.439,Polygon
43,1325873,TN,Tennessee,2996127,356672,65875,24537,68017,754,11.9,2639455,1756534,882921,1.66E+11,2629507.252,Polygon
44,1779801,TX,Texas,11112975,1206905,319748,87068,235967,3413,10.9,9906070,6168808,3737262,9.50E+11,8774044.944,Polygon
45,1455989,UT,Utah,1110369,107024,18879,6568,53007,490,9.6,1003345,707663,295682,3.68E+11,2557182.526,Polygon
46,1779802,VT,Vermont,337214,74362,3149,2778,55542,56,22.1,262852,187374,75478,48270229137,1281020.421,Polygon
47,1779803,VA,Virginia,3537788,353667,61514,28811,82998,514,10,3184121,2123771,1060350,1.67E+11,4131814.741,Polygon
48,1779804,WA,Washington,3150194,244372,40974,17435,91085,1572,7.8,2905822,1838059,1067763,3.83E+11,6314134.362,Polygon
49,1779805,WV,West Virginia,893615,159380,15438,10700,40579,118,17.8,734235,540786,193449,1.03E+11,2614069.164,Polygon
50,1779806,WI,Wisconsin,2709444,331509,40488,16515,191920,453,12.2,2377935,1596500,781435,2.87E+11,3720657.676,Polygon
51,1779807,WY,Wyoming,278495,45264,8830,2663,15888,347,16.3,233231,165530,67701,4.74E+11,2777133.834,Polygon
52,1779808,PR,Puerto Rico,1559976,354227,28946,24347,70457,226,22.7,1205749,817399,388350,10062700130,777497.6368,Polygon
